true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text
No,0,"gave it to me, and I, fool as I was, instead of keeping the ring as a holy relic, gave it to this wretch.",0,non-toxic," gave it to me, and I, fool as I was, instead of keeping the ring as a holy relic, and gave it to me."," gave it to me, and I, fool as I was, instead of keeping the ring as a holy relic, and gave it to me."
No,0,The problem that I have of wanting to have sex with other people besides my wife.,0,non-toxic, Problem that I have of wanting to have sex with other people besides my wife., Problem that I have of wanting to have sex with other people besides my wife.
No,0,The Vikings aren't worth it.,0,non-toxic, the Vikings, the Vikings
No,0,You are also a child of the devil.,0,non-toxic, You were also a child of, You were also a child of
No,0,to women raped in war.,1,toxic, to women the raping board.,"""the board for women who have been sexually assaulted"""
No,0,We have a mediocre politician.,0,non-toxic," We have Eddie Oker, Paula T."," We have Eddie Oker, Paula T."
No,0,what kind of hallucinations would people have?,0,non-toxic, What kind of hallucinations would people, What kind of hallucinations would people
No,0,"The Lord then answered him and said, Hypocrite! Does not each one of you",0,non-toxic," to him. The Lord there asks for him and says, to the crew, there's not each one."," to him. The Lord there asks for him and says, to the crew, there's not each one."
No,0,for sex. He said he was tempted in every way.,0,non-toxic, For sex. He said he was tempted and everyone, For sex. He said he was tempted and everyone
No,0,"you slaves, I call you friends.",0,non-toxic, You slaves are called you., You slaves are called you.
No,0,and she has no breasts. What shall we do for our sister on the day when she is spoken for?,0,non-toxic, And she has no breasts. What shall we do for our sister on the day when she is spoken for?, And she has no breasts. What shall we do for our sister on the day when she is spoken for?
No,0,Fools! Didn't he who made the outside make the inside too?,0,non-toxic, people. Get the outside and make the inside., people. Get the outside and make the inside.
No,0,We will be serving our community for many years to come.,0,non-toxic, We will be serving our community for many years., We will be serving our community for many years.
No,0,But I can use that same maniac.,0,non-toxic, But I can use that same maniac., But I can use that same maniac.
No,0,a way of sexual expression and homosexuals as ordained ministers.,0,non-toxic, Way of sexual expression and homosexuals as ordained., Way of sexual expression and homosexuals as ordained.
No,0,And showed me high upon his breast a wound.,0,non-toxic, and showed me high upon his breast of, and showed me high upon his breast of
No,0,Would he actually violate the Queen while I am in the house?,0,non-toxic, Would he actually violate the Queen while I am in the house?, Would he actually violate the Queen while I am in the house?
No,0,"Strike Egypt with all my wonders, that I shall perform",0,non-toxic, So strike Egypt with all my wonders that I should, So strike Egypt with all my wonders that I should
No,0,Arabs and I will cut off the pride.,2,toxic, Arabs and I will cut off the pride,Arabs and I will humble the pride.
No,0,Everybody was so distressed because it could kill you.,0,non-toxic, Everybody was so distressed because it could kill, Everybody was so distressed because it could kill
No,0,they're doing it for their Black people who will be puppeting.,0,non-toxic, because they're doing it for their black people who will be public., because they're doing it for their black people who will be public.
No,0,"of ass. Poor me, I say.",1,toxic, Hot pieces of ass poor me I say,I feel sorry for myself when I see attractive people.
No,0,It's not so much that these monsters are...,0,non-toxic, It's not so much of these monsters., It's not so much of these monsters.
No,0,"I love God, but hates his brother, he is a liar.",0,non-toxic," I love God, but hates his brother, he is a liar."," I love God, but hates his brother, he is a liar."
No,0,"Surely if he and I end up together, we'd remember what really happened no matter how silly it was.",0,non-toxic," Surely if he and I end up together, we'd remember what really happened. No matter how soon..."," Surely if he and I end up together, we'd remember what really happened. No matter how soon..."
No,0,but by no means the lesser deity. His name is a derivation of the Greek simia. What great fools are the antiquarians!,0,non-toxic, But by no means the less a deity. His name is a derivation of the Greek Simea. What great fools are the antiquaries?, But by no means the less a deity. His name is a derivation of the Greek Simea. What great fools are the antiquaries?
No,0,"Since Yudhter Treveal had spoken of her to the Queen, the Queen was ignorant where the Mercer's young wife was.",0,non-toxic, Missyoda Triviel had spoken of her to the queen. The queen was ignorant where the mercer's young girl was., Missyoda Triviel had spoken of her to the queen. The queen was ignorant where the mercer's young girl was.
No,0,"We have killed one, we must now find the other.",0,non-toxic, We have killed one. We must now find out., We have killed one. We must now find out.
No,0,seem to ignore utterly their new idiocy.,1,toxic, an eluphemous that seem to ignore utterly their new and,a euphemism that completely disregards their new situation
No,0,"You know, this, the blacks seem to be taking over.",0,non-toxic," But you know, this the black scene to be taking"," But you know, this the black scene to be taking"
No,0,"has become a Christian. Formerly, he was useless to you.",0,non-toxic, formally he was used to, formally he was used to
No,0,"shut up. And he said, let us meet together in the",0,non-toxic," Shut up. And he said, let us meet you."," Shut up. And he said, let us meet you."
No,0,What is that little animal you are so tender of? He is my dog.,0,non-toxic, What is that little animal you are so tender of? He is my dog., What is that little animal you are so tender of? He is my dog.
No,0,killed any longer. And not long after her.,0,non-toxic," and not long after her,"," and not long after her,"
No,0,of the tallest man reached only to his breast.,0,non-toxic, of the tallest man reached only to his brad., of the tallest man reached only to his brad.
Yes,Pornographic language,"I will go stripped and naked, I will make lamentation like the jackals and mourning like the ostriches.",0,non-toxic, I will go stripped and naked. I will make lamentation like the jackals and morning like the, I will go stripped and naked. I will make lamentation like the jackals and morning like the
Yes,Physical violence or bullying language,Shut up. Thank you.,0,non-toxic, Shut up. Thank you., Shut up. Thank you.
Yes,Hate speech,I hate humans. He sat down at the table in the kitchen.,0,non-toxic," I hear it, humans. He sat down at the table."," I hear it, humans. He sat down at the table."
Yes,Physical violence or bullying language,"They're going to make money out of this bitch somehow. Yep. Somehow, someway.",0,non-toxic, They're gonna make money out this bitch somehow. Yep. Some of them., They're gonna make money out this bitch somehow. Yep. Some of them.
Yes,Physical violence or bullying language,Rape is always the fault of the aggressor.,0,non-toxic, Rape is always the fault of the aggressor., Rape is always the fault of the aggressor.
Yes,Profanities,"Fuck, this is a movie. I do remember-",1,toxic," f**k, this is a movie I-I do-","Dang, this is a movie I-I can't believe it."
Yes,Pornographic language,"early sexual activity, et cetera.",1,toxic, Early sexual activity itself.,Engaging in sexual activity at a young age.
Yes,Hate speech,why aren't you killing the Hebrew boys,1,toxic, killing the Hebrew,Causing harm to a Hebrew person.
Yes,Profanities,"But if the love of the Soprano's fear should upwardly direct your aspiration, there would not be that fear within your breasts.",0,non-toxic," If the love of the subpronal sphere should upwardly direct your aspiration, there would not be that fear."," If the love of the subpronal sphere should upwardly direct your aspiration, there would not be that fear."
Yes,"Hate speech, Physical violence or bullying language","and you instead say that you're a Muslim, I will kill you.",11,toxic," and you instead say that you're a Muslim, I will kill you.","""I will create difficulties for you if you continue to follow the Muslim faith."""
Yes,Physical violence or bullying language,"Don't forget, you're just nothing. You're garbage.",0,non-toxic, You're just nothing. You're gone., You're just nothing. You're gone.
Yes,Physical violence or bullying language,"She is a very headstrong, foolish girl, and does not know her own interests.",0,non-toxic, She is a very headstrong foolish girl and does not know her own, She is a very headstrong foolish girl and does not know her own
Yes,"Pornographic language, Slurs",and soul. Here comes the big butt. Oh my gosh.,0,non-toxic, Got and sold here comes the big butt., Got and sold here comes the big butt.
Yes,Profanities,"Fuck. It's an amazing energy, isn't it?",1,toxic, that you want to fuck. And that and you're it's an amazing,That person you desire intimately is truly wonderful.
Yes,Physical violence or bullying language,Whoever does any kind of work on it shall be put to death.,0,non-toxic, Whoever does any kind of work on it shall be put, Whoever does any kind of work on it shall be put
Yes,Physical violence or bullying language,the author of I'm from the government and I'm here to kill you.,0,non-toxic, I'm from the government and I'm here to kick you out., I'm from the government and I'm here to kick you out.
Yes,Physical violence or bullying language,"And they will kill him. And after he is killed,",0,non-toxic," and they will kill him. And after he is killed,"," and they will kill him. And after he is killed,"
Yes,Physical violence or bullying language,He's gonna be beheaded by sword.,0,non-toxic, He's gonna be beheaded by his sword., He's gonna be beheaded by his sword.
Yes,Physical violence or bullying language,He had to die because of his moral standards.,0,non-toxic, He had to die because he's moral., He had to die because he's moral.
Yes,Physical violence or bullying language,"See, look at how silly we get.",0,non-toxic," See, look at how silly we are."," See, look at how silly we are."
Yes,Physical violence or bullying language,And I will kill her children with death,6,toxic, down and I will kill her children with,I will talk to her kids if she doesn't follow through.
Yes,Physical violence or bullying language,If we tell a mother that she can kill her own child.,0,non-toxic, If we tell a mother that she can kill, If we tell a mother that she can kill
Yes,Slurs,and and some of the chumps that we have in political office,0,non-toxic, and some of the chumps that we have in political office., and some of the chumps that we have in political office.
Yes,Pornographic language,"Yes, if you've got any money."" Money enough,"" he answered, but your balls aren't quite round.",0,non-toxic," Two? Yes, if you've got any money, money enough, he answered. But your balls aren't quite round."," Two? Yes, if you've got any money, money enough, he answered. But your balls aren't quite round."
Yes,"Hate speech, Physical violence or bullying language, Slurs",aggressiveness which would be murderous were he not so helpless. He's dirty.,1,toxic, which would be murderous where he not so helpless.,which would be deadly if he were not so vulnerable.
Yes,Physical violence or bullying language,"He said, throw her down.",0,non-toxic, He said, He said
Yes,Profanities,video of this shit some guy who risked his life,0,non-toxic, Some guy who risked his life., Some guy who risked his life.
Yes,Physical violence or bullying language,shot his grandmother in the face.,2,toxic, shot his grandmother.,Injured his grandmother with a firearm.
Yes,Pornographic language,about their illicit sexual activity.,0,non-toxic, about their illicit sexual activity., about their illicit sexual activity.
Yes,Physical violence or bullying language,scatter his servants and warriors to the four winds and send the sword after them. And when I scatter them,0,non-toxic," I will scatter his servants and warriors to the four winds, and send the sword after them."," I will scatter his servants and warriors to the four winds, and send the sword after them."
Yes,Physical violence or bullying language,You're crazy. You're dumber than a box of rocks.,1,toxic, You're a dumber than a box of paper.,"""You're not the brightest bulb in the box."""
Yes,Hate speech,Our preaching is useless.,0,non-toxic, reason our preaching is here., reason our preaching is here.
